input.txt
1 , 4
2 , 6
3 , 15
4 , 19
5 , 34
6 , 40
7 , 59
8 , 69
9 , 90
10 , 103
11 , 128
12 , 144
13 , 174
14 , 192
15 , 225
16 , 251
17 , 287
18 , 319
19 , 360
20 , 387
21 , 439
22 , 464
23 , 521
24 , 546
25 , 609
26 , 632
27 , 704
28 , 724
29 , 804
30 , 825
31 , 910
32 , 941
33 , 1024
34 , 1056
35 , 1139
36 , 1183
37 , 1277
38 , 1322
39 , 1410
40 , 1461
41 , 1545
42 , 1606
43 , 1697
44 , 1760
45 , 1851
46 , 1924
47 , 2022
48 , 2090
49 , 2205
50 , 2272
51 , 2394
52 , 2455
53 , 2578
54 , 2639
55 , 2759
56 , 2834
57 , 2956
58 , 3037
59 , 3160
60 , 3236
61 , 3367
62 , 3476
63 , 3627
64 , 3746
65 , 3889
66 , 4010
67 , 4157
68 , 4282
69 , 4401
70 , 4522
71 , 4655
72 , 4783
73 , 4905
74 , 5051
75 , 5175
76 , 5333
77 , 5454
78 , 5616
79 , 5734
80 , 5903
81 , 6015
82 , 6186
83 , 6305
84 , 6477
85 , 6607
86 , 6789
87 , 6913
88 , 7092
89 , 7219
90 , 7414
91 , 7548
92 , 7751
93 , 7885
94 , 8083
95 , 8223
96 , 8423
97 , 8558
98 , 8768
99 , 8919
100 , 9136
101 , 9282
102 , 9505
103 , 9643
104 , 9882
105 , 10005
106 , 10250
107 , 10381
108 , 10628
109 , 10777
110 , 11009
111 , 11170
112 , 11403
113 , 11567
114 , 11794
115 , 11972
116 , 12208
117 , 12379
118 , 12633
119 , 12815
120 , 13065
121 , 13241
122 , 13497
123 , 13678
124 , 13932
125 , 14117
126 , 14379
127 , 14571

